"AcceptedTaxonID","ParentSpeciesID","InfraSpeciesEpithet","InfraSpeciesAuthorString","InfraSpeciesMarker","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","InfraSpeciesURL","GSDTaxonGUI","GSDNameGUI"
3245,3244,"guppyi","(Urich, 1913)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5341",,
3246,3244,"monagasi","(Fennah, 1949)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5345",,
3247,3244,"quadrimaculata","(Fennah, 1953)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5347",,
3248,3244,"stalii","(Lallemand, 1912)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5349",,
3256,3244,"suffusa","(Walker, 1851)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5359",,
3257,3244,"walkeri","(Lallemand, 1912)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5360",,
3288,3287,"sexnotata","(Fowler, 1897)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5394",,
3311,2861,"jujuyana","Fennah, 1985",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5419",,
3312,2986,"bipunctata","(Lallemand, 1924)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5420",,
3313,2986,"lateralis","(Lallemand, 1924)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5422",,
3354,2860,"flamen","(Fennah, 1953)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5472",,
3398,1491,"lugubris","(Fowler, 1896)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5520",,
3399,1491,"picata","(Fowler, 1896)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5521",,
3425,851,"sororia","(Germar, 1821)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5553",,
3459,3458,"secta","(Lallemand, 1949)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5589",,
3460,3458,"truncata","(Lallemand, 1949)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5591",,
3469,805,"costaricensis","Fennah, 1953",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5601",,
