"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
399,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","esakii","Kato, 1939","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=574",,
400,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","exaggerata","Maa, 1949","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=577",,
401,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","finitima","Jacobi, 1928","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=578",,
402,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","flavolineata","Distant, 1908","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=579",,
403,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","formosana","Kato, 1928","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=580",,
404,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","fukienicola","Maa, 1947","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=581",,
405,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","fusca","Baker, 1919","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=582",,
409,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","mindanaensis","(Baker, 1927)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=586",,
411,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","moluccana","Kirkaldy, 1913","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=589",,
413,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","pandata","Distant, 1916","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=591",,
