"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
1160,2860,"Aeneolamia","","astralis","(Distant, 1909)","",,"","new combination, valid: No","Unambiguous Synonym",
1162,2860,"Tomaspis","","australis","Distant, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
1163,2860,"Tomaspis","","autralis","Distant, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
1161,2860,"Tomaspis","","astralis","Distant, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
1399,2861,"Monecphora","","christenseni","Lallemand, 1940","",,"","original combination, valid: No","Unambiguous Synonym",
3891,2861,"Manecphora","","christenseni","Lallemand, 1940","",,"","original combination, valid: No","Unambiguous Synonym",
1289,2862,"Sphenorhina","","cyanescens","Lallemand, 1931","",,"","original combination, valid: No","Unambiguous Synonym",
2421,2865,"Hyboscarta","","pehlkei","Schmidt, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
1440,2867,"Cercopis","","bahiana","(Lallemand, 1924)","",,"","new combination, valid: No","Unambiguous Synonym",
1449,2868,"Cercopis","","catella","(Jacobi, 1908)","",,"","new combination, valid: No","Unambiguous Synonym",
1469,2869,"Cercopis","","innotata","(Lallemand, 1949)","",,"","new combination, valid: No","Unambiguous Synonym",
970,2849,"Monecphora","","inca","(Guérin-Méneville, 1844)","",,"","new combination, valid: No","Unambiguous Synonym",
1472,2870,"Cercopis","","lineola","Fabricius, 1803","",,"","original combination, valid: No","Unambiguous Synonym",
993,2871,"Tomaspis","","mylabroides","Fowler, 1897","",,"","original combination, valid: No","Unambiguous Synonym",
1480,2872,"Cercopis","","nigripes","(Lallemand, 1931)","",,"","new combination, valid: No","Unambiguous Synonym",
1001,2873,"Tomaspis","","notata","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
1496,2875,"Cercopis","","praeminiata","(Fowler, 1897)","",,"","new combination, valid: No","Unambiguous Synonym",
1499,2876,"Cercopis","","punctigera","Germar, 1821","",,"","original combination, valid: No","Unambiguous Synonym",
1528,2877,"Cercopis","","scindens","(Walker, 1858)","",,"","new combination, valid: No","Unambiguous Synonym",
1533,2878,"Cercopis","","signifera","(Lallemand, 1938)","",,"","new combination, valid: No","Unambiguous Synonym",
1535,2879,"Cercopis","","speciosa","(Lallemand, 1924)","",,"","new combination, valid: No","Unambiguous Synonym",
1509,2881,"Cercopis","","quadriguttata","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
1516,2881,"Maxantenia","","quadriguttata","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
1511,2881,"Triecphora","","quadriguttata","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
1510,2881,"Sphenorhina","","quadriguttata","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
1512,2881,"Sphenorhina","","bipustulata","Walker, 1858","",,"","original combination, valid: No","Unambiguous Synonym",
1514,2881,"Maxantonia","","quadriguttata","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
1446,2882,"Cercopis","","cantator","(Schmidt, 1922)","",,"","new combination, valid: No","Unambiguous Synonym",
1503,2889,"Cercopis","","quadrifasciata","Le Peletier de Saint-Fargeau & Serville, 1825","",,"","original combination, valid: No","Unambiguous Synonym",
1508,2889,"Monecphora","","fasciata","Signoret, 1853","",,"","original combination, valid: No","Unambiguous Synonym",
1504,2889,"Tomaspis","","quadrifasciata","(Le Peletier de Saint-Fargeau & Serville, 1825)","",,"","new combination, valid: No","Unambiguous Synonym",
3901,2889,"Triecphora","","quadrifasciata","(Le Peletier de Saint-Fargeau & Serville, 1825)","",,"","new combination, valid: No","Unambiguous Synonym",
1506,2889,"Monecphora","","ornata","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
1505,2889,"Triecphora","","scita","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
906,3061,"Monecphora","","bicolor","Signoret, 1862","",,"","original combination, valid: No","Unambiguous Synonym",
905,3061,"Tomaspis","","bicolor","(Signoret, 1862)","",,"","new combination, valid: No","Unambiguous Synonym",
1441,2867,"Triecphora","","bahiana","Lallemand, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
1447,2882,"Maxantonia","","cantator","Schmidt, 1922","",,"","original combination, valid: No","Unambiguous Synonym",
1448,2882,"Triecphora","","cantator","(Schmidt, 1922)","",,"","new combination, valid: No","Unambiguous Synonym",
1450,2868,"Tomaspis","","catella","Jacobi, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
1451,2868,"Triecphora","","catella","(Jacobi, 1908)","",,"","new combination, valid: No","Unambiguous Synonym",
1470,2869,"Triecphora","","innotata","Lallemand, 1949","",,"","original combination, valid: No","Unambiguous Synonym",
3896,2870,"Monecphora","","lineola","(Fabricius, 1803)","",,"","new combination, valid: No","Unambiguous Synonym",
1473,2870,"Tomaspis","","lineola","(Fabricius, 1803)","",,"","new combination, valid: No","Unambiguous Synonym",
1474,2870,"Triecphora","","lineola","(Fabricius, 1803)","",,"","new combination, valid: No","Unambiguous Synonym",
1481,2872,"Triecphora","","nigripes","Lallemand, 1931","",,"","original combination, valid: No","Unambiguous Synonym",
1002,2873,"Sphenorhina","","notata","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
1497,2875,"Tomaspis","","praeminiata","Fowler, 1897","",,"","original combination, valid: No","Unambiguous Synonym",
1498,2875,"Triecphora","","praeminiata","(Fowler, 1897)","",,"","new combination, valid: No","Unambiguous Synonym",
1500,2876,"Sphenorhina","","punctigera","(Germar, 1821)","",,"","new combination, valid: No","Unambiguous Synonym",
1502,2876,"Tomaspis","","punctigera","(Germar, 1821)","",,"","new combination, valid: No","Unambiguous Synonym",
