"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
1658,357,"Aleuroclava","","kusheriki","(Mound, 1965)","",,"","new combination, valid: No","Unambiguous Synonym",
1659,357,"Aleuroclava","","yambiae","(Gameel, 1971)","",,"","new combination, valid: No","Unambiguous Synonym",
1660,376,"Aleuroclava","","europaeus","(Zahradnik, 1962)","",,"","new combination, valid: No","Unambiguous Synonym",
1661,376,"Aleuroclava","","suborientalis","(Danzig, 1966)","",,"","new combination, valid: No","Unambiguous Synonym",
1662,406,"Aleuroglandulus","","emmae","Russell, 1944","",,"","original combination, valid: No","Unambiguous Synonym",
1663,406,"Aleuroglandulus","","malangae","Russell, 1944","",,"","original combination, valid: No","Unambiguous Synonym",
1664,413,"Aleurolobus","","longicornis","(Zehntner, 1897)","",,"","new combination, valid: No","Unambiguous Synonym",
1665,446,"Aleurolobus","","niloticus","Priesner & Hosny, 1934","",,"","original combination, valid: No","Unambiguous Synonym",
1666,446,"Aleurolobus","","ravisei","Cohic, 1968","",,"","original combination, valid: No","Unambiguous Synonym",
1667,482,"Aleurolobus","","chinensis","Takahashi, 1936","",,"","original combination, valid: No","Unambiguous Synonym",
1668,490,"Aleurolobus","","clematidis","(Goux, 1942)","",,"","new combination, valid: No","Unambiguous Synonym",
1669,490,"Aleurolobus","","puripennis","Ossiannilsson, 1944","",,"","original combination, valid: No","Unambiguous Synonym",
1670,503,"Aleuromarginatus","","indica","Singh, 1940","",,"","original combination, valid: No","Unambiguous Synonym",
1671,568,"Aleuroplatus","","ficusgibbosae","Corbett, 1926","",,"","original combination, valid: No","Unambiguous Synonym",
1672,568,"Aleuroplatus","","buchananiae","Jesudasan & David, 1991","",,"","original combination, valid: No","Unambiguous Synonym",
1673,301,"Aleuroplatus","","distinctus","Jesudasan & David, 1991","",,"","original combination, valid: No","Unambiguous Synonym",
1674,301,"Aleuroplatus","","pectenserratus","Singh, 1945","",,"","original combination, valid: No","Unambiguous Synonym",
1675,608,"Aleuropteridis","","douglasi","Mound, 1961","",,"","original combination, valid: No","Unambiguous Synonym",
1676,613,"Aleurothrixus","","graneli","Blanchard, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
1677,618,"Aleurothrixus","","horridus","(Hempel, 1899)","",,"","new combination, valid: No","Unambiguous Synonym",
1678,618,"Aleurothrixus","","howardi","(Quaintance, 1907)","",,"","new combination, valid: No","Unambiguous Synonym",
1679,673,"Aleurotrachelus","","flacourtiae","(Phillips & Jesudasan, 2006)","",,"","new combination, valid: No","Unambiguous Synonym",
1680,686,"Aleurotrachelus","","espunae","Gomez-Menor, 1945","",,"","original combination, valid: No","Unambiguous Synonym",
1681,699,"Aleurotrachelus","","bodkini","(Quaintance & Baker, 1921)","",,"","new combination, valid: No","Unambiguous Synonym",
1682,709,"Aleurotulus","","extraniens","(Bemis, 1904)","",,"","new combination, valid: No","Unambiguous Synonym",
1683,709,"Aleurotulus","","kewensis","(Trehan, 1938)","",,"","new combination, valid: No","Unambiguous Synonym",
1684,722,"Aleyrodes","","acteae","Britton, 1905","",,"","original combination, valid: No","Unambiguous Synonym",
1685,736,"Aleyrodes","","fragariae","Walker, 1852","",,"","original combination, valid: No","Unambiguous Synonym",
1690,736,"Aleyrodes","","borchsenii","Danzig, 1966","",,"","original combination, valid: No","Unambiguous Synonym",
