"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
659,"NWJOO","TDWG Level 4 code","native"
659,"ILLOO","TDWG Level 4 code","native"
659,"GEOOO","TDWG Level 4 code","native"
659,"DELOO","TDWG Level 4 code","native"
659,"NWHOO","TDWG Level 4 code","native"
659,"LOUOO","TDWG Level 4 code","native"
659,"VRGOO","TDWG Level 4 code","native"
659,"SCAOO","TDWG Level 4 code","native"
659,"PENOO","TDWG Level 4 code","native"
659,"MINOO","TDWG Level 4 code","native"
659,"KANOO","TDWG Level 4 code","native"
659,"NCAOO","TDWG Level 4 code","native"
659,"MRYOO","TDWG Level 4 code","native"
659,"OKLOO","TDWG Level 4 code","native"
659,"WDCOO","TDWG Level 4 code","native"
659,"RHOOO","TDWG Level 4 code","native"
659,"CNTOO","TDWG Level 4 code","native"
659,"MSOOO","TDWG Level 4 code","native"
659,"OHIOO","TDWG Level 4 code","native"
659,"INIOO","TDWG Level 4 code","native"
659,"MASOO","TDWG Level 4 code","native"
661,"CUBOO","TDWG Level 4 code","native"
662,"79","TDWG Level 4 code","native"
662,"GUAOO","TDWG Level 4 code","native"
662,"MXGVC","TDWG Level 4 code","native"
662,"MXTTB","TDWG Level 4 code","native"
662,"PANOO","TDWG Level 4 code","native"
665,"CHSFJ","TDWG Level 4 code","native"
666,"CHSFJ","TDWG Level 4 code","native"
667,"CHSGX","TDWG Level 4 code","native"
667,"JAP","TDWG Level 4 code","native"
667,"QLDQU","TDWG Level 4 code","native"
668,"CHTOO","TDWG Level 4 code","native"
669,"CHSFJ","TDWG Level 4 code","native"
670,"PANOO","TDWG Level 4 code","native"
671,"NWCOO","TDWG Level 4 code","native"
672,"SRLOO","TDWG Level 4 code","native"
673,"PHIOO","TDWG Level 4 code","native"
676,"NWCOO","TDWG Level 4 code","native"
677,"MAUOO","TDWG Level 4 code","native"
677,"SEYOO","TDWG Level 4 code","native"
678,"ANGOO","TDWG Level 4 code","native"
