"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
11392,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","conspicua","(Horváth, 1904)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16650&page=explorer&db=flow",,
11393,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","conwentzi","Matsumura, 1906","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16652&page=explorer&db=flow",,
11397,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","culta","(Van Duzee, 1907)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16658&page=explorer&db=flow",,
11398,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","curvistyla","Dozier, 1926","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16660&page=explorer&db=flow",,
11399,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","darwini","Muir, 1929","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16664&page=explorer&db=flow",,
11401,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","difficilis","(Edwards, 1888)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16673&page=explorer&db=flow",,
11403,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","dimidiatifrons","(Kusnezov, 1929)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16678&page=explorer&db=flow",,
11405,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Lophopidae","Maana","","colorata","Soulier-Perkins, 1998","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16688&page=explorer&db=flow",,
11406,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Lophopidae","Maana","","erythina","Soulier-Perkins, 1998","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16689&page=explorer&db=flow",,
11407,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Lophopidae","Maana","","oriomoensis","Soulier-Perkins, 1998","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16690&page=explorer&db=flow",,
11409,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Lophopidae","Podoschtroumpfa","","magna","Soulier-Perkins, 1998","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16692&page=explorer&db=flow",,
11411,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Lophopidae","Pseudotyxis","","malimoenensis","Soulier-Perkins, 1998","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16694&page=explorer&db=flow",,
