"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
434,"26","TDWG Level 4 code","native"
434,"27","TDWG Level 4 code","native"
435,"MTNOO","TDWG Level 4 code","native"
436,"CZESK","TDWG Level 4 code","native"
436,"ITAIT","TDWG Level 4 code","native"
436,"GRCOO","TDWG Level 4 code","native"
436,"YUGMN","TDWG Level 4 code","native"
436,"YUGSE","TDWG Level 4 code","native"
436,"ALBOO","TDWG Level 4 code","native"
436,"YUGMA","TDWG Level 4 code","native"
436,"KAZOO","TDWG Level 4 code","native"
436,"YUGSL","TDWG Level 4 code","native"
436,"AUTAU","TDWG Level 4 code","native"
436,"POROO","TDWG Level 4 code","native"
436,"KGZOO","TDWG Level 4 code","native"
436,"TKMOO","TDWG Level 4 code","native"
436,"SPASP","TDWG Level 4 code","native"
436,"TZKOO","TDWG Level 4 code","native"
436,"TUROO","TDWG Level 4 code","native"
436,"UKRMO","TDWG Level 4 code","native"
436,"SICMA","TDWG Level 4 code","native"
436,"YUG","TDWG Level 4 code","native"
436,"ROMOO","TDWG Level 4 code","native"
436,"GEROO","TDWG Level 4 code","native"
436,"YUGCR","TDWG Level 4 code","native"
436,"TUNOO","TDWG Level 4 code","native"
436,"POLOO","TDWG Level 4 code","native"
436,"BULOO","TDWG Level 4 code","native"
436,"YUGBH","TDWG Level 4 code","native"
436,"CZECZ","TDWG Level 4 code","native"
436,"UZBOO","TDWG Level 4 code","native"
436,"HUNOO","TDWG Level 4 code","native"
437,"26","TDWG Level 4 code","native"
437,"27","TDWG Level 4 code","native"
438,"SRLOO","TDWG Level 4 code","native"
439,"23","TDWG Level 4 code","native"
440,"26","TDWG Level 4 code","native"
440,"27","TDWG Level 4 code","native"
440,"ETHOO","TDWG Level 4 code","native"
441,"ZAIOO","TDWG Level 4 code","native"
442,"TUNOO","TDWG Level 4 code","native"
442,"ALGOO","TDWG Level 4 code","native"
442,"LBYOO","TDWG Level 4 code","native"
442,"WSAOO","TDWG Level 4 code","native"
442,"MTNOO","TDWG Level 4 code","native"
442,"SPASP","TDWG Level 4 code","native"
442,"MORMO","TDWG Level 4 code","native"
443,"WAUWA","TDWG Level 4 code","native"
444,"13","TDWG Level 4 code","native"
444,"14","TDWG Level 4 code","native"
