"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
81,"41","TDWG Level 4 code","native"
82,"ASSAS","TDWG Level 4 code","native"
82,"CHCGZ","TDWG Level 4 code","native"
82,"CHSFJ","TDWG Level 4 code","native"
83,"INDMR","TDWG Level 4 code","native"
84,"IVOOO","TDWG Level 4 code","native"
85,"ZAIOO","TDWG Level 4 code","native"
85,"CONOO","TDWG Level 4 code","native"
85,"IVOOO","TDWG Level 4 code","native"
85,"TOGOO","TDWG Level 4 code","native"
85,"SIEOO","TDWG Level 4 code","native"
85,"GUIOO","TDWG Level 4 code","native"
85,"LBROO","TDWG Level 4 code","native"
85,"NGAOO","TDWG Level 4 code","native"
86,"NGAOO","TDWG Level 4 code","native"
86,"CONOO","TDWG Level 4 code","native"
86,"IVOOO","TDWG Level 4 code","native"
86,"GUIOO","TDWG Level 4 code","native"
86,"GABOO","TDWG Level 4 code","native"
87,"INDRA","TDWG Level 4 code","native"
87,"BANOO","TDWG Level 4 code","native"
87,"INDDE","TDWG Level 4 code","native"
87,"PAKOO","TDWG Level 4 code","native"
87,"CHCYN","TDWG Level 4 code","native"
87,"INDBI","TDWG Level 4 code","native"
87,"ASS","TDWG Level 4 code","native"
87,"INDMP","TDWG Level 4 code","native"
87,"INDPU","TDWG Level 4 code","native"
87,"INDHA","TDWG Level 4 code","native"
87,"CHSGX","TDWG Level 4 code","native"
87,"INDUP","TDWG Level 4 code","native"
87,"41","TDWG Level 4 code","native"
87,"INDGU","TDWG Level 4 code","native"
88,"IND","TDWG Level 4 code","native"
88,"SUMOO","TDWG Level 4 code","native"
89,"41","TDWG Level 4 code","native"
89,"LAOOO","TDWG Level 4 code","native"
89,"THAOO","TDWG Level 4 code","native"
90,"41","TDWG Level 4 code","native"
90,"CBDOO","TDWG Level 4 code","native"
91,"PHIOO","TDWG Level 4 code","native"
92,"INDRA","TDWG Level 4 code","native"
92,"BANOO","TDWG Level 4 code","native"
92,"INDDE","TDWG Level 4 code","native"
92,"PAKOO","TDWG Level 4 code","native"
92,"CHCYN","TDWG Level 4 code","native"
92,"INDBI","TDWG Level 4 code","native"
92,"ASS","TDWG Level 4 code","native"
