"ID","Reference Type","ReferenceID"
556,"TaxAccRef",171
557,"TaxAccRef",44
558,"TaxAccRef",1162
559,"TaxAccRef",42
560,"TaxAccRef",172
561,"TaxAccRef",173
562,"TaxAccRef",65
563,"TaxAccRef",120
564,"TaxAccRef",120
565,"TaxAccRef",174
573,"TaxAccRef",153
576,"TaxAccRef",64
577,"TaxAccRef",177
578,"TaxAccRef",44
579,"TaxAccRef",44
580,"TaxAccRef",178
581,"TaxAccRef",143
582,"TaxAccRef",140
583,"TaxAccRef",179
585,"TaxAccRef",12
586,"TaxAccRef",44
587,"TaxAccRef",44
593,"TaxAccRef",12
594,"TaxAccRef",44
596,"TaxAccRef",74
598,"TaxAccRef",182
600,"TaxAccRef",120
601,"TaxAccRef",74
602,"TaxAccRef",122
603,"TaxAccRef",44
605,"TaxAccRef",69
608,"TaxAccRef",120
609,"TaxAccRef",74
611,"TaxAccRef",122
613,"TaxAccRef",154
614,"TaxAccRef",74
615,"TaxAccRef",166
616,"TaxAccRef",183
618,"TaxAccRef",116
619,"TaxAccRef",143
621,"TaxAccRef",122
625,"TaxAccRef",74
626,"TaxAccRef",133
630,"TaxAccRef",125
633,"TaxAccRef",133
634,"TaxAccRef",122
636,"TaxAccRef",74
639,"TaxAccRef",74
642,"TaxAccRef",186
643,"TaxAccRef",117
646,"TaxAccRef",164
647,"TaxAccRef",77
648,"TaxAccRef",187
649,"TaxAccRef",367
657,"TaxAccRef",90
658,"TaxAccRef",75
660,"TaxAccRef",185
661,"TaxAccRef",76
663,"TaxAccRef",164
664,"TaxAccRef",79
665,"TaxAccRef",185
667,"TaxAccRef",85
668,"TaxAccRef",190
669,"TaxAccRef",85
671,"TaxAccRef",44
679,"TaxAccRef",17
680,"TaxAccRef",194
681,"TaxAccRef",190
682,"TaxAccRef",195
684,"TaxAccRef",89
685,"TaxAccRef",44
686,"TaxAccRef",194
687,"TaxAccRef",44
688,"TaxAccRef",82
689,"TaxAccRef",44
690,"TaxAccRef",195
691,"TaxAccRef",195
692,"TaxAccRef",195
693,"TaxAccRef",194
694,"TaxAccRef",79
695,"TaxAccRef",79
696,"TaxAccRef",197
697,"TaxAccRef",76
698,"TaxAccRef",196
699,"TaxAccRef",76
700,"TaxAccRef",83
701,"TaxAccRef",196
702,"TaxAccRef",198
703,"TaxAccRef",77
704,"TaxAccRef",164
705,"TaxAccRef",199
706,"TaxAccRef",44
707,"TaxAccRef",44
708,"TaxAccRef",200
710,"TaxAccRef",44
711,"TaxAccRef",190
712,"TaxAccRef",90
713,"TaxAccRef",195
715,"TaxAccRef",185
717,"TaxAccRef",187
719,"TaxAccRef",44
721,"TaxAccRef",199
722,"TaxAccRef",200
723,"TaxAccRef",90
724,"TaxAccRef",76
725,"TaxAccRef",76
726,"TaxAccRef",89
727,"TaxAccRef",89
728,"TaxAccRef",89
729,"TaxAccRef",183
730,"TaxAccRef",89
731,"TaxAccRef",77
732,"TaxAccRef",76
733,"TaxAccRef",203
734,"TaxAccRef",90
735,"TaxAccRef",196
737,"TaxAccRef",204
738,"TaxAccRef",90
739,"TaxAccRef",164
740,"TaxAccRef",205
742,"TaxAccRef",205
743,"TaxAccRef",39
744,"TaxAccRef",93
745,"TaxAccRef",44
746,"TaxAccRef",195
748,"TaxAccRef",44
749,"TaxAccRef",164
751,"TaxAccRef",195
754,"TaxAccRef",86
755,"TaxAccRef",202
761,"TaxAccRef",164
763,"TaxAccRef",208
766,"TaxAccRef",209
767,"TaxAccRef",17
768,"TaxAccRef",17
769,"TaxAccRef",17
774,"TaxAccRef",92
775,"TaxAccRef",93
780,"TaxAccRef",77
782,"TaxAccRef",76
784,"TaxAccRef",164
789,"TaxAccRef",44
790,"TaxAccRef",44
791,"TaxAccRef",94
795,"TaxAccRef",212
796,"TaxAccRef",90
797,"TaxAccRef",76
798,"TaxAccRef",76
799,"TaxAccRef",77
800,"TaxAccRef",197
801,"TaxAccRef",94
802,"TaxAccRef",79
803,"TaxAccRef",84
805,"TaxAccRef",213
806,"TaxAccRef",164
809,"TaxAccRef",212
811,"TaxAccRef",213
813,"TaxAccRef",207
814,"TaxAccRef",213
815,"TaxAccRef",164
817,"TaxAccRef",213
818,"TaxAccRef",164
819,"TaxAccRef",85
821,"TaxAccRef",85
823,"TaxAccRef",213
824,"TaxAccRef",76
825,"TaxAccRef",90
826,"TaxAccRef",183
827,"TaxAccRef",76
828,"TaxAccRef",213
829,"TaxAccRef",85
830,"TaxAccRef",215
832,"TaxAccRef",76
834,"TaxAccRef",76
835,"TaxAccRef",85
836,"TaxAccRef",76
837,"TaxAccRef",89
838,"TaxAccRef",213
839,"TaxAccRef",213
840,"TaxAccRef",76
841,"TaxAccRef",76
844,"TaxAccRef",164
845,"TaxAccRef",200
846,"TaxAccRef",216
848,"TaxAccRef",164
849,"TaxAccRef",217
850,"TaxAccRef",17
851,"TaxAccRef",217
852,"TaxAccRef",217
854,"TaxAccRef",9
855,"TaxAccRef",218
856,"TaxAccRef",219
857,"TaxAccRef",220
858,"TaxAccRef",221
859,"TaxAccRef",209
860,"TaxAccRef",222
862,"TaxAccRef",667
864,"TaxAccRef",225
871,"TaxAccRef",227
872,"TaxAccRef",229
876,"TaxAccRef",229
877,"TaxAccRef",229
880,"TaxAccRef",230
881,"TaxAccRef",230
882,"TaxAccRef",230
883,"TaxAccRef",81
885,"TaxAccRef",227
886,"TaxAccRef",88
887,"TaxAccRef",230
888,"TaxAccRef",15
893,"TaxAccRef",232
894,"TaxAccRef",222
895,"TaxAccRef",233
897,"TaxAccRef",234
898,"TaxAccRef",234
899,"TaxAccRef",235
900,"TaxAccRef",234
901,"TaxAccRef",234
902,"TaxAccRef",234
904,"TaxAccRef",236
908,"TaxAccRef",239
909,"TaxAccRef",240
910,"TaxAccRef",241
911,"TaxAccRef",222
912,"TaxAccRef",222
913,"TaxAccRef",242
914,"TaxAccRef",222
915,"TaxAccRef",243
916,"TaxAccRef",222
917,"TaxAccRef",192
918,"TaxAccRef",222
922,"TaxAccRef",192
924,"TaxAccRef",245
925,"TaxAccRef",246
926,"TaxAccRef",247
927,"TaxAccRef",248
928,"TaxAccRef",248
929,"TaxAccRef",248
930,"TaxAccRef",248
931,"TaxAccRef",247
932,"TaxAccRef",248
933,"TaxAccRef",247
934,"TaxAccRef",230
935,"TaxAccRef",230
936,"TaxAccRef",248
937,"TaxAccRef",230
938,"TaxAccRef",247
940,"TaxAccRef",249
941,"TaxAccRef",249
942,"TaxAccRef",249
943,"TaxAccRef",249
944,"TaxAccRef",249
945,"TaxAccRef",249
946,"TaxAccRef",249
947,"TaxAccRef",249
948,"TaxAccRef",250
949,"TaxAccRef",230
950,"TaxAccRef",106
952,"TaxAccRef",222
953,"TaxAccRef",222
954,"TaxAccRef",218
956,"TaxAccRef",662
957,"TaxAccRef",72
958,"TaxAccRef",252
959,"TaxAccRef",36
961,"TaxAccRef",106
969,"TaxAccRef",255
970,"TaxAccRef",255
971,"TaxAccRef",256
972,"TaxAccRef",255
973,"TaxAccRef",101
974,"TaxAccRef",256
975,"TaxAccRef",106
976,"TaxAccRef",255
977,"TaxAccRef",222
979,"TaxAccRef",230
980,"TaxAccRef",255
981,"TaxAccRef",255
982,"TaxAccRef",255
983,"TaxAccRef",256
985,"TaxAccRef",101
986,"TaxAccRef",230
987,"TaxAccRef",255
988,"TaxAccRef",255
994,"TaxAccRef",230
995,"TaxAccRef",222
996,"TaxAccRef",106
998,"TaxAccRef",167
1000,"TaxAccRef",222
1002,"TaxAccRef",259
1003,"TaxAccRef",222
1004,"TaxAccRef",259
1005,"TaxAccRef",259
1007,"TaxAccRef",230
1008,"TaxAccRef",259
1009,"TaxAccRef",259
1010,"TaxAccRef",260
1011,"TaxAccRef",260
1015,"TaxAccRef",261
1016,"TaxAccRef",222
1019,"TaxAccRef",88
1022,"TaxAccRef",88
1023,"TaxAccRef",88
1025,"TaxAccRef",230
1027,"TaxAccRef",101
1028,"TaxAccRef",230
1031,"TaxAccRef",222
1033,"TaxAccRef",106
1034,"TaxAccRef",88
1035,"TaxAccRef",88
1036,"TaxAccRef",222
1037,"TaxAccRef",222
1039,"TaxAccRef",18
1042,"TaxAccRef",192
1044,"TaxAccRef",26
1045,"TaxAccRef",230
1046,"TaxAccRef",26
1047,"TaxAccRef",230
1048,"TaxAccRef",265
1049,"TaxAccRef",265
1050,"TaxAccRef",265
1051,"TaxAccRef",422
1053,"TaxAccRef",268
1054,"TaxAccRef",269
1055,"TaxAccRef",269
1056,"TaxAccRef",269
1058,"TaxAccRef",106
1059,"TaxAccRef",230
1061,"TaxAccRef",270
1062,"TaxAccRef",271
1063,"TaxAccRef",142
1064,"TaxAccRef",230
1068,"TaxAccRef",88
1069,"TaxAccRef",271
1070,"TaxAccRef",272
1076,"TaxAccRef",230
1077,"TaxAccRef",271
1078,"TaxAccRef",222
1081,"TaxAccRef",230
1082,"TaxAccRef",230
1084,"TaxAccRef",230
1085,"TaxAccRef",230
1088,"TaxAccRef",222
1089,"TaxAccRef",230
1090,"TaxAccRef",230
1092,"TaxAccRef",230
1094,"TaxAccRef",230
1096,"TaxAccRef",274
1097,"TaxAccRef",222
1098,"TaxAccRef",230
1101,"TaxAccRef",222
1102,"TaxAccRef",252
1103,"TaxAccRef",222
1106,"TaxAccRef",230
1108,"TaxAccRef",142
1109,"TaxAccRef",230
1111,"TaxAccRef",271
1112,"TaxAccRef",230
1113,"TaxAccRef",222
1115,"TaxAccRef",271
1116,"TaxAccRef",230
1117,"TaxAccRef",218
1118,"TaxAccRef",230
1119,"TaxAccRef",230
1123,"TaxAccRef",247
1128,"TaxAccRef",271
1129,"TaxAccRef",142
1135,"TaxAccRef",230
1137,"TaxAccRef",230
1139,"TaxAccRef",252
1140,"TaxAccRef",253
1141,"TaxAccRef",277
1145,"TaxAccRef",106
1147,"TaxAccRef",222
1149,"TaxAccRef",278
1150,"TaxAccRef",105
1152,"TaxAccRef",222
1153,"TaxAccRef",279
1154,"TaxAccRef",106
1155,"TaxAccRef",225
1157,"TaxAccRef",227
1159,"TaxAccRef",230
1160,"TaxAccRef",230
1161,"TaxAccRef",142
1163,"TaxAccRef",247
1164,"TaxAccRef",230
1165,"TaxAccRef",230
1166,"TaxAccRef",230
1168,"TaxAccRef",222
1171,"TaxAccRef",227
1172,"TaxAccRef",106
1173,"TaxAccRef",47
1174,"TaxAccRef",230
1175,"TaxAccRef",222
1176,"TaxAccRef",280
1177,"TaxAccRef",230
1179,"TaxAccRef",230
1180,"TaxAccRef",230
1181,"TaxAccRef",282
1182,"TaxAccRef",222
1183,"TaxAccRef",222
1184,"TaxAccRef",142
1185,"TaxAccRef",230
1188,"TaxAccRef",222
1189,"TaxAccRef",247
1190,"TaxAccRef",295
1191,"TaxAccRef",295
1192,"TaxAccRef",296
1193,"TaxAccRef",295
1194,"TaxAccRef",295
1195,"TaxAccRef",295
1196,"TaxAccRef",295
1197,"TaxAccRef",295
1198,"TaxAccRef",295
1199,"TaxAccRef",297
1200,"TaxAccRef",3
1201,"TaxAccRef",3
1202,"TaxAccRef",367
1203,"TaxAccRef",298
1204,"TaxAccRef",298
1205,"TaxAccRef",298
1206,"TaxAccRef",298
1207,"TaxAccRef",3
1208,"TaxAccRef",298
1209,"TaxAccRef",3
1210,"TaxAccRef",299
1211,"TaxAccRef",299
1212,"TaxAccRef",12
1213,"TaxAccRef",106
1215,"TaxAccRef",5
1217,"TaxAccRef",303
1218,"TaxAccRef",304
1219,"TaxAccRef",304
1221,"TaxAccRef",5
1222,"TaxAccRef",306
1223,"TaxAccRef",34
1224,"TaxAccRef",5
1225,"TaxAccRef",5
1226,"TaxAccRef",5
1227,"TaxAccRef",5
1229,"TaxAccRef",307
1230,"TaxAccRef",5
1231,"TaxAccRef",5
1232,"TaxAccRef",5
1233,"TaxAccRef",5
1234,"TaxAccRef",5
1236,"TaxAccRef",5
1237,"TaxAccRef",5
1238,"TaxAccRef",5
1239,"TaxAccRef",5
1240,"TaxAccRef",3
1253,"TaxAccRef",317
1255,"TaxAccRef",324
1256,"TaxAccRef",323
1257,"TaxAccRef",326
1258,"TaxAccRef",325
1260,"TaxAccRef",328
1261,"TaxAccRef",329
1262,"TaxAccRef",282
1263,"TaxAccRef",331
1264,"TaxAccRef",179
1265,"TaxAccRef",228
1266,"TaxAccRef",330
1267,"TaxAccRef",804
1268,"TaxAccRef",334
1288,"TaxAccRef",12
1289,"TaxAccRef",634
1298,"TaxAccRef",639
1299,"TaxAccRef",12
1303,"TaxAccRef",62
1304,"TaxAccRef",632
1305,"TaxAccRef",12
1306,"TaxAccRef",775
1307,"TaxAccRef",12
1308,"TaxAccRef",656
1309,"TaxAccRef",657
1310,"TaxAccRef",650
1311,"TaxAccRef",654
1312,"TaxAccRef",301
1313,"TaxAccRef",13
1314,"TaxAccRef",12
1315,"TaxAccRef",659
1316,"TaxAccRef",514
1317,"TaxAccRef",660
1318,"TaxAccRef",664
1319,"TaxAccRef",12
1320,"TaxAccRef",283
1321,"TaxAccRef",780
1322,"TaxAccRef",142
1323,"TaxAccRef",283
1324,"TaxAccRef",12
1325,"TaxAccRef",803
1326,"TaxAccRef",376
1327,"TaxAccRef",282
1328,"TaxAccRef",12
1329,"TaxAccRef",12
1330,"TaxAccRef",12
1331,"TaxAccRef",12
1332,"TaxAccRef",12
1333,"TaxAccRef",228
1334,"TaxAccRef",184
1335,"TaxAccRef",309
1336,"TaxAccRef",134
1337,"TaxAccRef",726
1338,"TaxAccRef",12
1339,"TaxAccRef",134
1340,"TaxAccRef",350
1341,"TaxAccRef",731
1344,"TaxAccRef",685
1345,"TaxAccRef",991
1346,"TaxAccRef",733
1347,"TaxAccRef",811
1348,"TaxAccRef",813
1349,"TaxAccRef",232
1350,"TaxAccRef",813
1351,"TaxAccRef",334
1352,"TaxAccRef",816
1353,"TaxAccRef",732
1355,"TaxAccRef",179
1356,"TaxAccRef",719
1357,"TaxAccRef",731
1358,"TaxAccRef",12
1359,"TaxAccRef",179
1360,"TaxAccRef",12
1361,"TaxAccRef",273
1362,"TaxAccRef",179
1363,"TaxAccRef",282
1364,"TaxAccRef",350
1365,"TaxAccRef",179
1367,"TaxAccRef",943
1368,"TaxAccRef",318
1371,"TaxAccRef",322
1372,"TaxAccRef",25
1374,"TaxAccRef",134
1375,"TaxAccRef",335
1376,"TaxAccRef",336
1377,"TaxAccRef",337
1378,"TaxAccRef",335
1379,"TaxAccRef",335
1380,"TaxAccRef",335
1381,"TaxAccRef",335
1382,"TaxAccRef",335
1383,"TaxAccRef",335
1384,"TaxAccRef",338
1385,"TaxAccRef",339
1398,"TaxAccRef",262
1399,"TaxAccRef",283
1400,"TaxAccRef",370
1401,"TaxAccRef",180
1402,"TaxAccRef",371
1403,"TaxAccRef",378
1404,"TaxAccRef",371
1405,"TaxAccRef",12
1407,"TaxAccRef",524
1408,"TaxAccRef",312
1409,"TaxAccRef",618
1410,"TaxAccRef",566
1411,"TaxAccRef",566
1412,"TaxAccRef",209
1413,"TaxAccRef",566
1414,"TaxAccRef",312
1415,"TaxAccRef",340
1416,"TaxAccRef",619
1417,"TaxAccRef",620
1418,"TaxAccRef",625
1419,"TaxAccRef",340
1420,"TaxAccRef",625
1421,"TaxAccRef",340
1422,"TaxAccRef",312
1423,"TaxAccRef",312
1424,"TaxAccRef",312
1425,"TaxAccRef",340
1426,"TaxAccRef",340
1427,"TaxAccRef",62
1428,"TaxAccRef",340
1429,"TaxAccRef",312
1430,"TaxAccRef",340
1431,"TaxAccRef",312
1432,"TaxAccRef",312
1433,"TaxAccRef",340
1434,"TaxAccRef",340
1435,"TaxAccRef",312
1436,"TaxAccRef",312
1437,"TaxAccRef",312
1438,"TaxAccRef",340
1439,"TaxAccRef",312
1440,"TaxAccRef",270
1441,"TaxAccRef",635
1442,"TaxAccRef",801
1443,"TaxAccRef",802
1444,"TaxAccRef",873
1445,"TaxAccRef",316
1446,"TaxAccRef",930
1448,"TaxAccRef",877
1449,"TaxAccRef",316
1450,"TaxAccRef",383
1451,"TaxAccRef",805
1452,"TaxAccRef",448
1453,"TaxAccRef",350
1454,"TaxAccRef",350
1455,"TaxAccRef",312
1456,"TaxAccRef",1348
1458,"TaxAccRef",630
1459,"TaxAccRef",312
1461,"TaxAccRef",632
1464,"TaxAccRef",270
1465,"TaxAccRef",453
1467,"TaxAccRef",633
1469,"TaxAccRef",638
1470,"TaxAccRef",640
1471,"TaxAccRef",285
1473,"TaxAccRef",262
1474,"TaxAccRef",134
1475,"TaxAccRef",179
1476,"TaxAccRef",134
