"ReferenceID","Authors","Year","Title","Details"
68,"Pifano F., Romero J. & Alvarez A.",1973,"Comprobación de una cepa de Leishmania dermotropa en Phlebotomus flaviscutellata Mangabeira, 1942, de la Sierra Parima, Territorio Federal Amazonas Venezuela.","Archivos venezolanos de Medicina Tropical y Parasitología Médica, 5(2): 145-170."
69,"Lebbe J., Vignes R. & Dedet J. P.",1987,"Identification assistée par ordinateur des Phlébotomes de Guyane Française. Computer aided identification of phlebotomine sandflies of French Guiana (Diptera : Psychodidae).","165 pp. Institut Pasteur de la Guyane française, Cayenne (France - French Guiana)."
70,"",,"",""
71,"Bejarano J. F. R. & Duret J. P.",1950,"Contribución al conocimiento de los flebótomos argentinos (Diptera, Psychodidae).","Revista de la sanidad militar argentina, 49(4): 327-336."
72,"Ortíz I.",1965,"Contribución al estudio de los flebótomos americanos del grupo cayennensis con la descripción de una nueva especie : Phlebotomus yencanensis.","Acta Biologica Venezuelica, 4(7): 205-211."
73,"Ortíz I.",1965,"Contribución al estudio de los flebótomos americanos del grupo sanguinarius con la descripción de una nueva especie : Phlebotomus scorzai n.sp. (Diptera, Psychodidae).","Acta Biologica Venezuelica, 5(2): 25-39."
74,"Rosabal R.",1966,"Contribución al estudio de los Phlebotomus de Costa Rica (Diptera : Psychodidae). II. Presencia de P. barrettoi y P. ovallesi en Costa Rica.","Revista de Biologia Tropical, 14(1): 1-2."
75,"De León J. R.",1971,"Contribución al estudio de los Phlebotomus (Diptera, Psychodidae). Phlebotomus del grupo anthophorus en Guatemala.","Revista del Colegio médico de Guatemala, 22(3): 187-193."
76,"Corredor A., Osorno-Mesa E. A. & Parra J.",1970,"Contribución al estudio epidemiológico del kala-azar en Colombia.","Revista de la Facultad de medicina de Bogotá, (Colombia), 37(1): 90-94."
77,"Rosabal R.",1954,"Contribución al estudio de los Phlebotomus de Costa Rica (Diptera : Psychodidae).","1"
78,"Coutinho J. O. & Barretto M. P.",1940,"Contribuição para o conhecimento dos flebótomos de São Paulo : Phlebotomus fischeri Pinto, 1926 e Phlebotomus pessoai n.sp. (Dipt., Psychodidae).","Revista de biologia e higiene, 10(2): 89-104."
79,"Barretto M. P. & Coutinho J. O.",1940,"Contribuição ao conhecimento dos flebótomos de São Paulo. II. Descrição do macho de Phlebotomus limai Fonseca, 1935 e de duas novas espécies : Phlebotomus ayrozai e P.amarali (Diptera, Psychodidae).","Anais da Faculdade de medicina da Universidade de São Paulo, 16(1): 127-139."
80,"Coutinho J. O. & Barretto M. P.",1940,"Contribuição para o conhecimento dos flebótomos de São Paulo. III. Descrição do macho de Phlebotomus alphabeticus Fonseca, 1936 e de Phlebotomus pascalei n.sp. (Diptera : Psychodidae).","Anais da Faculdade de medicina da Universidade de São Paulo, 16(1): 193-206."
81,"Barretto M. P. & Coutinho J. O.",1941,"Contribuição ao conhecimento dos flebótomos de São Paulo. IV. Descrição de três novas espécies.","Papéis Avulsos do Departamento de Zoologia, 1(24): 143-158."
82,"Barretto M. P. & Coutinho J. O.",1941,"Contribuição ao conhecimento dos flebótomos de São Paulo. V. Descrição do macho de P.monticolus Costa Lima, 1932 e duas novas espécies.","Papéis Avulsos do Departamento de Zoologia, 1(19): 177-192."
83,"Barretto M. P. & Coutinho J. O.",1941,"Contribuição ao conhecimento dos flebótomos de São Paulo. VI. Descrição de duas novas espécies (Diptera, Psychodidae).","Papéis Avulsos do Departamento de Zoologia, 1(24): 223-236."
84,"Coutinho J. O. & Barretto M. P.",1941,"Contribuição ao conhecimento dos flebótomos de São Paulo. VII. Descrição de Phlebotomus guimaraesi, n.sp. e das fêmeas de Phlebotomus pestanai Barretto e Coutinho, 1941e de Phlebotomus lanei Barretto e Coutinho, 1941 (Diptera, Psychodidae).","Revista de biologia e higiene, 11(11): 74-88."
85,"Barretto M. P. & Coutinho J. O.",1943,"Contribuição para o conhecimento dos flebótomos de São Paulo. VIII. Descrição da femêa de P.ayrozai Barretto & Coutinho, 1940 e do macho de P.basispinosus n.sp. (Diptera, Psychodidae).","Revista brasileira de biologia, (Rio de Janeiro), 3(2): 183-189."
87,"Galvão A. L. A. & Coutinho J. O.",1939,"Contribuição ao estudo dos Flebotomus do Estado de São Paulo. Flebotomus sallesi, n.sp. (Diptera, Psychodidae).","Anais da Faculdade de medicina da Universidade de São Paulo, 15: 125-139."
88,"Lutz A. & Neiva A.",1912,"Contribuição para o conhecimento das espécies do genero Phlebotomus existentes no Brasil.","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 4(1): 84-95."
89,"Barretto M. P. & Pessôa S. B.",1946,"Contribuição para o estudo da distribuição geografica dos flebótomos americanos (Diptera: Psychodidae).","Livro em homenagem a Romualdo Ferreira de Almeida, 7: 77-102."
90,"Shannon R. C. & Del Ponte E.",1927,"Cuatro notas sobre especies nuevas de dipteros nematóceros, hematófagos o no, de la República Argentina.","Revista del Instituto bacteriológico, 4(1): 724-726."
93,"Zeledón R., Macaya G., Ponce C., Murillo J. & Bonilla J. A.",1982,"Cutaneous leishmaniasis in Honduras, Central America.","Transactions of the Royal Society of Tropical Medicine and Hygiene, 76: 276-277."
94,"Lainson R., Ward R. D. & Shaw J. J.",1976,"Cutaneous leishmaniasis in North Brazil : Lutzomyia anduzei as a major vector.","Transactions of the Royal Society of Tropical Medicine and Hygiene, 70(2): 171-172."
95,"Silveira F. T., Souza A. A. A., Lainson R., Shaw J. J., Braga R. R. & Ishikawa E.",1991,"Cutaneous leishmaniasis in the Amazon region : natural infection of the sandfly Lutzomyia ubiquitalis (Psychodidae : Phlebotominae) by Leishmania (Viannia) lainsoni in Para State, Brazil.","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 86(1): 127-130."
96,"",,"",""
97,"",,"",""
98,"",,"",""
99,"",,"",""
100,"",,"",""
101,"",,"",""
102,"",,"",""
103,"",,"",""
104,"",,"",""
105,"",,"",""
106,"",,"",""
107,"",,"",""
108,"",,"",""
109,"",,"",""
110,"Martins A. V., Falcão A. L. & Silva J. E.",1975,"Descrição da fêmea de Lutzomyia teratodes Martins, Falcão & Silva, 1964 (Diptera, Psychodidae, Phlebotominae).","Revista brasileira de biologia, (Rio de Janeiro), 35(3): 515-517."
111,"Galati E. A. B. & Gomes A. C.",1977,"Descrição da fêmea de Lutzomyia termitophila Martins, Falcão & Silva, 1964 (Diptera, Psychodidae, Phlebotominae).","Revista brasileira de entomologia, 21(2): 63-64."
112,"Martins A. V., Falcão A. L., Silva J. E. & Miranda Fo R.",1983,"Descrição da fêmea de Lutzomyia wilsoni (Damasceno & Causey, 1945) (Diptera, Psychodidae, Phlebotominae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 78(1): 67-70."
113,"Mangabeira Fo O. & Sherlock I. A.",1961,"Descrição de 4 novas espécies de Phlebotominae da Bahia (Diptera, Psychodidae).","Revista brasileira de biologia, (Rio de Janeiro), 21(3): 265-276."
114,"Cáceres A. & Galati E. A. B.",1988,"Descrição de Lutzomyia ayacuchensis sp.n. (Diptera, Psychodidae, Phlebotominae) dos Andes Peruanos.","Revista brasileira de entomologia, 32(1): 55-61."
115,"Galati E. A. B. & Cáceres A.",1990,"Descrição de Lutzomyia blancasi, sp.n. e Lutzomyia tejadai sp.n. (Diptera, Psychodidae, Phlebotominae) dos Andes Peruanos.","Revista brasileira de entomologia, 34(3): 505-521."
116,"Blancas F., Cáceres A. & Galati E. A. B.",1989,"Descrição de Lutzomyia caballeroi sp.n. (Diptera, Psychodidae, Phlebotominae) dos Andes Peruanos.","Revista brasileira de entomologia, 33(3): 455-463."
117,"Damasceno R. G. & Arouck R.",1950,"Descrição de uma nova espécie de flebótomo encontrada no Estado da Bahia, Flebotomus digitatum (Diptera, Psychodidae).","Revista do Serviço especial de saúde pública, 3(2): 465-471."
118,"Damasceno R. G. & Arouck R.",1956,"Descrição de uma nova espécie do Flebotomus encontrada no Estado de Minas Gerais, Flebotomus rachoui (Diptera, Psychodidae).","13 pp. Mimeograph-paper, XIII Congr. Brasil. Hyg., Fortaleza (Ceará) (Brazil)."
119,"Dias E. S., Falcão A. L., Silva J. E. & Martins A. V.",1987,"Descrição de uma nova espécie do subgênero Helcocyrtomyia, Lutzomyia capixaba sp.n. (Diptera, Psychodidae, Phlebotominae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 82(2): 193-196."
120,"Dias E. S., Martins A. V., Falcão A. L. & Silva J. E.",1986,"Descrição de uma nova espécie do subgênero Helcocyrtomyia, Lutzomyia pusilla sp.n. (Diptera, Psychodidae, Phlebotominae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 81(4): 395-399."
121,"Fonseca F.",1939,"Descrição do macho de Flebotomus arthuri Fonseca, 1936 (Diptera, Psychodidae).","Memórias do Instituto Butantan, (São Paulo), 12: 181-185."
123,"Ortíz I.",1954,"Descripción de dos nuevas especies del genero Phlebotomus Rondani (Diptera, Psychodidae) de Venezuela","Acta Biologica Venezuelica, 1(14): 231-250."
124,"Cazorla D. & Añez N.",1988,"Descripción de la hembra de Lutzomyia ceferinoi (Ortiz & Alvarez, 1963) y redescripción del macho.","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 83(3): 313-322."
125,"Morales A., Rodríguez M. C. de & Ibagos A. L.",1982,"Descripción de la hembra de Lutzomyia scaffi (Damasceno & Arouck, 1956) (Diptera, Psychodidae).","Biomedica, 2(1): 17-21."
